Metabolites,Veh-Ah-1,Veh-Ah-2,Veh-Ah-3,2dG-Ah-1,2dG-Ah-2,2dG-Ah-3,Veh-XJ-1,Veh-XJ-2,Veh-XJ-3,2dG-XJ-1,2dG-XJ-2,2dG-XJ-3,Veh-DS-1,Veh-DS-2,Veh-DS-3,1mMGLC-DS-1,1mMGLC-DS-2,1mMGLC-DS-3,Veh-Zh-1,Veh-Zh-2,Veh-Zh-3,5uM5FU-1,5uM5FU-2,5uM5FU-3
3(S)6(R)-dihydroxy-tetradec-8Z-enoate/3(S)6(S)-dihydroxy-tetradec-8Z-enoate,37477.98685,42023.3079,27142.34565,25299.96625,14090.44025,30841.51345,18518.893,15919.753,13140.62585,15620.14725,14597.78105,13261.3388,22108.05025,32013.819,25053.55265,53784.6072,63324.5239,57181.1199,21977.8341,20060.40045,16202.39075,18518.3986,15142.9746,16827.59815
pentadecanoate,675727.9641,769524.4065,444434.3501,435128.8571,294904.2861,544379.7413,666386.531,562501.4724,473900.0602,578955.9969,579471.4367,570190.9839,505502.8265,443051.69,509847.7344,382878.7227,423850.7274,475455.1032,671732.9971,525660.7766,446841.0449,607128.6337,555191.5015,523039.3516
palmitoleate,330531.4026,454736.7109,243234.5222,249687.1171,261202.962,352840.118,535927.0435,541785.6547,614480.0885,525781.1647,542170.4442,538944.7136,655334.4454,609636.5373,791335.2469,895894.59,985286.6755,988705.5662,774281.6959,494478.4766,432976.4901,675706.6153,593652.2283,447278.2944
palmitate,13058056.62,12655962.7,6860140.722,10097532.82,6841784.185,8565674.753,19367480.21,17412256.77,13159996.68,18772183.38,17001077.44,17968651.4,9781441.288,8812217.728,9371161.07,7251316.67,8064842.648,13367162.26,22870611.76,15364168.07,13532422.23,20413864.25,16015068.49,15900929.65
omega hydroxy hexadecanoate (n-C16:0),79708.1441,108167.3498,60393.66975,132537.4266,91259.13755,83948.68305,182599.4732,152688.1845,170942.5557,189814.8061,175049.9592,172779.1174,141186.3565,175266.8966,156490.7064,118821.3947,142800.8538,155150.9918,224592.4797,165676.9888,138492.9038,202379.1419,227949.0287,186623.8447
hexadecanediocacid,56759.7878,69816.6914,40753.73155,46665.43235,23761.76805,46104.7912,30837.1477,22068.2206,25479.2013,32047.33585,29557.11735,27820.3776,58207.39125,70536.90385,58463.31355,53764.70945,64052.5862,58993.16225,29413.5725,25363.9898,20934.50275,25212.9017,26068.7827,22710.2363
margarate,251608.3153,238490.8171,137566.0719,188108.7714,104286.4797,156874.4519,212248.1591,173311.3094,133827.0769,199761.0807,170410.0777,168390.0479,222549.7948,210395.7714,229839.8893,161057.7194,193341.8718,229823.1769,275085.2138,149571.8398,113869.2926,220978.2702,172853.6834,151561.9447
dihomo-gamma-linolenic acid (n-6),12059.7077,23799.30985,10540.34475,8913.81515,13195.25725,19196.9769,79403.7109,86455.74295,94071.5668,83272.13025,105729.2418,109033.1174,80269.5307,83302.65005,74391.7737,44767.0773,56275.3715,53709.85855,24864.5891,22843.86505,22916.1336,27115.46495,31418.53175,26141.3133
11-cis-eicosenoate,31379.3104,47840.12205,24355.87205,14601.21915,21971.13005,32026.6925,38038.5248,35190.84655,22306.544,35879.7451,26736.05455,33800.42295,67711.6013,64396.24955,84525.04165,62574.88305,79184.5133,89836.31225,29573.821,27201.2801,25224.3705,33273.89225,31831.6152,26429.9011
fructoselysine 3-phosphate,231994.3198,229556.9631,231573.6397,214036.6391,296667.105,304911.3772,45578.22115,50456.94735,60216.69035,49242.56755,46341.43545,45366.93835,117337.1794,120130.9785,128111.9205,110361.9709,115005.7752,117493.0878,84820.3343,81962.7228,79915.66975,82380.8197,75373.47275,60806.38215
(R)-S-lactoylglutathionate(1-),111206.889,96924.85405,102824.9,28169.38205,56640.87805,78576.65185,10937.6011,8284.717,10389.75795,8940.69735,6759.86415,4826.8467,15849.98545,18824.7965,13827.2378,22413.0246,19637.47715,19595.80815,34872.2701,25959.5483,18831.79855,27571.9995,29922.191,22351.4736
UDP-D-glucuronate,225306.5151,267270.2677,273122.432,100690.7966,102693.7628,110403.2436,52736.4402,66073.1577,90123.22395,61142.27755,52488.35115,45595.1307,118278.3515,139379.4588,180438.5391,124700.8626,153062.7629,179262.0463,410158.0967,339140.2092,291570.833,545926.1714,553557.8657,388729.0342
GDP-alpha-D-mannose(2-),50300.85755,46349.50245,52695.21685,31957.76545,29953.18175,43229.43935,16441.32925,20287.88015,25538.94955,6298.0899,7371.32715,5776.09505,10671.3494,13953.06295,20196.95175,10884.4441,13090.11655,17023.00475,39607.00305,45898.12215,36016.8701,39325.8728,43496.236,36862.41845
glycochenodeoxycholate,17718.39685,24994.4332,21410.8083,10259.6329,18995.9641,17871.9982,41405.0571,40296.86125,56523.8733,36106.6716,42176.97045,37774.57685,124864.9645,117506.212,93921.97365,56414.31445,60370.54465,53642.63565,39177.31635,32997.83145,29666.94905,27885.06495,33175.3005,29315.96105
taurolithocholate,8439.02305,12835.0986,9103.7995,4912.704,8984.104,13283.06865,30204.83995,30710.87415,37769.62495,20437.0383,24738.57525,25064.6886,41243.2027,34833.1243,29563.44485,21315.66235,20716.4626,20734.10095,21654.86235,18883.57745,20266.21195,17129.97025,19572.7516,16286.23805
3-oxopropanoate,1062369.125,1192548.487,1108340.568,613907.1703,810792.8993,722024.7308,737133.1301,742994.2358,924988.3554,532233.9683,542244.3246,539677.2052,2518406.525,2672531.46,2420761.47,1141412.859,1120895.052,1223221.507,960112.4281,972681.5581,956190.2509,885110.2486,978567.56,892478.3085
3-hydroxypropionate/D-glyceraldehyde/glycerone,20147421.78,28110243.56,26146713.92,14132680.28,19274978.72,17675017.21,12860976.22,13075887.4,16220597.53,10882069.63,11124437.64,11106272.01,49716201.81,49637397.4,45368708.74,12879725.33,13495921.16,13649947.76,13102092.42,15106767.5,13971935.17,12048485.89,14563291.89,12385598.11
D-glycerate,182905.323,195634.5458,200608.1151,105957.618,198136.6089,110806.1562,464884.5737,493931.6706,565164.131,349348.6605,367249.6425,366665.2779,925585.0502,1345415.841,1203126.349,169663.1737,171085.488,163437.3434,232910.2062,237475.8778,221040.0852,214256.7346,223581.6902,196697.5256
(2R)-2-hydroxy-3-(phosphonatooxy)propanoate/D-Glycerate 2-phosphate,1244735.96,1492400.509,1455045.92,285621.7499,385503.3373,366289.0084,504242.4996,558979.9093,600904.4234,82074.39015,79728.20275,70239.3039,356016.6055,264047.7753,336219.9996,188341.8189,253420.3064,329411.7312,285062.0486,267435.6385,259112.5804,271595.7046,360232.1846,353749.2826
C4H6O3(3),5233350.559,5097790.234,4841119.876,4547579.745,5366033.029,4341774.808,4762322.993,5027799.641,6023250.325,4472881.288,4815796.245,4663886.488,44091240.22,55526943.46,47293102.37,3571166.831,4184669.295,4682917.882,4319813.197,4040652.921,3199321.614,3448558.927,4058355.707,3638074.05
L-3-Cyanoalanine/56-dihydrouracil,583046.0887,645598.3115,634776.6831,667762.99,780160.486,860803.9418,837573.9812,819973.9147,1041644.682,782289.997,810197.8977,837527.2114,1792138.822,1745437.132,1667948.339,1955384.765,1927954.342,2062417.599,1357050.138,1243464.307,1164227.816,1230191.615,1209747.817,1087210.486
Methylmalonate,4221736.003,3803268.095,3710735.589,3350504.32,4436364.651,3431492.267,6077250.155,6147079.02,7307845.697,5656025.7,5939307.486,5867166.838,20647275.57,20883978.57,19423454.14,9582080.451,9489478.104,8689796.018,3268517.491,2790777.712,2664284.926,2579512.121,2893748.869,2560024.96
5-oxoprolinate/L-1-Pyrroline-3-hydroxy-5-carboxylate,41846325.31,49588385.14,45143188.57,35180480.98,39602282.91,39924798.43,57861039.57,59108641.55,67656915.54,57025173.75,59694104.55,59312083.91,174605076.4,206576386.2,182953222.7,247989821.6,266246767.6,268714759.1,68490606.55,65959394.37,62039928.33,64030871.21,64600261.66,59541988.08
itaconate/Mesaconate,2445005.87,2168142.002,2314824.191,2269081.685,2362306.72,2408384.22,1328484.435,1312441.883,1556661.056,972695.8892,1002687.812,1008664.214,2947506.832,3316426.112,3027141.589,1869996.782,1919833.95,2075516.99,1560735.627,1429909.773,1423686.356,1305586.454,1322737.935,1228391.4
L-4-hydroxyglutamic semialdehyde,28723564.05,26537163.59,26663741.98,28221240.01,37894364.85,30013617.45,26063530.23,25427600.36,31329034.82,25141554.75,24507794.56,25503133.16,73505567.35,72038522.65,67827126.58,70501345.96,71762076.98,73806091.68,37702703.61,35499034.95,32057966.49,32062046.01,33604807.75,28244931.01
C5H10O5(6),555496.3255,552715.8041,546753.4532,456418.0035,598550.1693,459214.7904,731106.4606,784941.787,974065.8175,775852.6904,784898.8886,818579.4818,2329008.25,2406626.761,2239425.697,703686.7157,781383.0719,724166.9764,561077.1238,527588.608,470181.5534,522642.3694,510733.6318,450024.1849
L-arabinitol/xylitol/D-ribitol,197591.5121,241608.3802,222619.448,178677.4823,223985.1837,200069.2037,373702.4439,362268.0013,441376.4918,385690.0002,400772.2924,385441.3208,1386203.615,1606525.858,1443963.901,184417.3317,171023.0593,156746.3489,208035.2571,190233.9089,171911.2503,192481.143,184284.2625,167979.9974
L-xylonate/L-lyxonate,476833.1387,560902.7083,567116.0992,383560.6879,654236.6011,453497.3627,889370.5181,931811.1658,1102438.274,871631.95,870697.4301,897630.79,1438468.997,1886045.399,1669760.71,274165.559,240404.3808,256480.5129,638288.3771,612311.8698,613352.7078,586997.3568,627254.8798,519061.6596
2-deoxy-D-ribose 5-phosphate/2-Deoxy-D-ribose 1-phosphate,16747.40795,15548.8463,12687.94735,126957.4992,187382.9907,173159.2009,14526.04745,15967.01095,17563.65685,138612.7373,133912.6561,132247.591,68328.7973,73330.2386,88964.93545,61519.45345,62536.2246,85812.44215,12062.6872,14476.2577,14696.0327,21980.33875,24051.63755,16595.995
C5H11O8P(5),222835.2996,223119.7924,240619.4672,242993.6377,349100.8946,283278.1522,160581.4978,156927.5922,200440.1491,177436.4331,199597.2046,192218.5605,669179.5163,583183.5067,617375.8924,234960.445,302035.3121,291498.261,264811.3574,246103.0165,217776.8537,230380.8938,248761.8605,210082.9032
1-piperideine-6-carboxylate/1-piperideine-2-carboxylate,244612.8099,283209.1993,270677.0545,70977.1969,145815.7882,131289.2217,94730.2984,105040.693,109559.3399,75718.13555,101732.8876,86764.4659,349325.6653,403301.309,355496.8396,236205.7479,156091.9147,145928.1802,73999.0991,107566.9492,105395.7787,82619.3112,92482.43835,87852.77665
3-methyl-2-oxopentanoate/4-methyl-2-oxopentanoate,9688999.911,11989438.08,11629117.01,6372632.878,9426041.89,9456817.947,7462191.226,7453748.317,8139585.866,5478695.137,4781602.302,5383665.204,9451205.935,8930738.671,9516641.327,8367724.469,9040292.256,8911222.728,11553571.14,11526996.83,11411626.85,10173310.35,12194359.6,9561934.205
L-2-aminoadipate(1-),551608.6247,658201.528,523901.8081,468240.0191,645251.4127,604233.1545,483726.9174,490886.6143,572704.3622,441547.7952,434633.9158,416107.4562,1182461.998,1260839.103,1174788.012,1373123.308,1416850.065,1384473.199,696119.5093,734606.4608,640054.4266,634064.8883,716210.3886,510021.532
L-fucose/L-Fuculose,42964.5306,49251.6392,44603.93175,38401.094,47042.78785,36161.5892,79742.2755,88105.5137,109658.0433,82177.12065,85876.0182,80677.27105,108687.6457,105116.7368,101517.7827,4104.07555,6484.2761,4867.40075,27323.6364,23692.34735,22159.4619,22639.5665,24958.58205,21045.39735
cis-aconitate/dehydroascorbide,3056515.092,2779455.008,2987926.556,2899608.458,3096586.044,3141233.999,2030207.566,2009898.852,2327565.606,1557831.567,1518401.199,1551711.588,3665351.09,3642222.359,3514524.518,2924040.986,3091253.001,3316260.734,2079225.54,2007131.858,2037839.635,1793127.439,1852768.085,1714957.604
N-acetyl-L-aspartate/2-Amino-3-oxoadipate,19308055.42,16109885.46,16455432.12,17839878.61,20061067.43,14687383.23,6648739.32,6724578.705,8118113.768,7040328.06,6978532.105,6952315.708,27226109.75,25378148.95,24529317.77,28302185.98,28252231.73,29457327.2,7995677.32,7905163.572,5725625.021,7584924.714,7981962.824,7943584.083
C6H12O6(5),4269710.257,5181849.76,5047910.809,3704967.006,5077565.185,4825592.61,4339130.44,4536974.094,5558034.387,3985340.712,4222445.986,4231435.155,7859653.165,8149308.136,7404316.881,4948552.125,5073548.558,5246024.5,3433689.551,3029866.699,2975181.659,3106734.81,3049350.548,2571591.258
L-Iditol/D-glucitol/galactitol,2303252.422,2594495.49,2513074.268,1622722.146,2047569.316,1645513.312,4554789.622,4644279.803,5479591.125,4058645.703,4148311.558,4284920.182,10810656.61,10811500.52,10285200.72,1027065.876,662520.0241,504362.9921,2162326.331,1979165.973,2230849.843,2159016.327,2019625.48,2025383.081
citrate/isocitrate/Diketogulonic acid,55067139.87,51674950.49,55857155.16,51279310.07,56370868.54,61314831.95,54857945.31,53267675.79,61184720.86,41350808.54,39885741.9,41487296.78,58110185.79,76630013.41,66133660.23,55821633.65,55550505.04,59635323.61,47484032.92,56745776.09,55413127.78,51530340.79,55311352.78,52681546.52
3-dehydro-L-gulonate/D-glucuronate/L-iduronate,51384.02655,52887.2911,50566.4966,39902.33255,56228.91635,43826.3812,66507.04245,61856.2069,77834.5343,61167.68205,70046.50995,66301.07365,198620.5697,257218.6757,220650.6787,39583.0102,45304.62225,54405.5075,54637.3757,43775.243,41104.3429,38700.006,39651.38195,36878.50515
L-gulonate,1117654.25,1188333.27,1200694.264,874358.1125,1091282.584,908344.7852,534593.364,552304.2223,675692.2292,510144.2897,546512.6663,534534.9558,1313307.293,1411477.505,1326337.318,631677.9189,604726.8795,635896.6123,537387.9628,555339.0812,523964.2454,453701.6639,538919.6515,438071.067
D-gluconate,1117654.25,1188333.27,1200694.264,874358.1125,1091282.584,908344.7852,534593.364,552304.2223,675692.2292,510144.2897,546512.6663,534534.9558,1313307.293,1411477.505,1326337.318,631677.9189,604726.8795,635896.6123,537387.9628,555339.0812,523964.2454,453701.6639,538919.6515,438071.067
C6H13O9P(13),1096655.49,1114011.828,1210529.936,5770663.398,7297942.103,6751889.63,1912930.709,1846334.491,2192269.122,4676513.691,4691151.9,4679141.36,1779347.93,1995993.065,2167706.252,1246034.741,1458403.821,1398259.983,2596611.7,3138629.656,2580510.541,2097605.592,2206442.076,2013021.574
C6H14O12P2(7),2178393.672,2111575.207,2366570.226,312693.2041,353061.1644,498446.5524,207625.7217,292227.605,369116.1817,58751.03895,61409.5352,50666.41285,526713.4349,583257.2349,715298.9855,62688.3043,68708.2605,109400.2281,1299942.402,922007.6878,855800.0672,1425973.381,1477794.036,719255.3944
(2S3R)-3-hydroxybutane-123-tricarboxylate/2-methylcitrate,141796.0902,162048.9309,145682.6527,95342.10985,123863.2259,92428.90005,186183.5262,188103.4363,202706.1598,180992.161,201869.982,193844.5726,353055.4988,354196.8193,367628.2544,189977.7725,188480.0917,181920.4741,101225.326,109941.5694,119135.7397,100051.2529,113661.6781,118289.1128
phenylacetate/(4-hydroxyphenyl)acetaldehyde,1269482.728,1522977.212,1312017.915,1251463.238,1418385.083,1471545.13,2027713.095,1927855.817,1898911.568,2104702.115,2016579.192,2094649.82,512828.4579,532986.6953,531120.4951,543495.5743,574163.0227,553279.162,2631377.084,2277802.928,2221439.011,2552670.638,2454007.481,2376134.523
N-formylanthranilate/noradrenochrome,36234.00045,33050.375,28236.95255,23963.39265,24050.37875,26661.65115,17406.2608,16085.3962,15030.87805,17432.1522,15041.86715,14602.8747,30905.5864,37787.2031,42233.0326,34103.88765,37175.4531,31658.46135,10579.93435,9636.4499,7196.7521,12656.3164,9232.302,7907.7673
C8H16NO9P(4),63319.211,69002.2331,67987.3835,120672.1678,145258.035,145966.4367,28122.956,27872.27405,33369.80835,17992.194,23536.1877,23059.6856,137355.1657,117542.1244,127935.6209,144616.1371,145727.8582,154472.808,50833.4005,48061.1248,40110.86875,32228.5926,24286.89165,21596.2028
"4-hydroxy-2-nonenal/3,4-epoxynonanal",187000.5851,174819.8813,142319.5761,184211.0703,148661.6079,153195.46,216044.5639,209683.8019,204938.8941,221579.468,218725.934,214051.4814,125762.4488,131144.0981,138324.777,124223.8645,137895.5993,143698.4321,341090.7472,247673.6014,221967.6975,300531.3156,254029.889,234921.0394
N-benzoylglycinate/adrenochrome,2135394.941,2919585.784,2794584.469,1413071.108,1999244.515,1974830.019,2942774.73,3149362.897,3733065.23,2309717.538,2330610.677,2269443.637,4466079.602,6331272.594,4977002.933,2702038.185,2986030.725,3269848.308,1788020.815,1876513.838,1780052.511,1531305.126,1882580.74,1707720.167
trans-caffeate/3-(4-hydroxyphenyl)pyruvate,36322.315,35897.43375,31533.24675,28000.3587,27420.7702,27555.92405,11312.4929,9996.7786,9800.3843,13688.37115,6350.4743,6903.12305,12552.57645,16014.98455,13553.49365,6188.9493,10530.8881,9856.06765,37525.4077,26239.2853,26631.44815,26479.307,21869.48835,20509.08155
cytidine,12043198.55,10185576.01,10630936.03,11272905.66,12984083.56,13035998.13,3315615.344,3342484.662,3064527.758,3715311.87,3365380.908,3160717.716,517073.1294,503816.4587,460077.9659,502994.1465,473727.4431,501754.4896,1797098.06,2095700.837,1973852.335,1696274.867,1551379.751,1458960.992
dGMP/AMP/3-AMP,169801.819,161001.7775,153612.4171,131313.2772,211106.645,169237.4183,29323.7986,28510.22885,35510.3206,14651.351,18823.52045,15541.19445,172589.2565,168348.7419,179089.1074,107751.3934,99658.3201,126395.3196,60109.57325,61579.774,54697.68135,60825.27015,65885.92805,50884.39825
4(R)-hydroxy-dodec-6Z-enoate/4(S)-hydroxy-dodec-6Z-enoate,265230.7585,293397.8613,271644.9143,217411.8444,236849.9945,271249.4907,69705.38355,60529.60675,45527.166,52412.62995,59935.648,54667.3321,180879.001,149660.5665,190689.4613,172625.1052,172623.9428,160940.3726,104785.5494,63766.7004,55968.29975,88381.7224,81068.0296,76525.9827
C14H24O3(4),21960.48345,22706.34135,17100.93095,16633.51495,19708.4161,16044.0674,13184.326,12971.35655,9818.0838,13942.34275,14626.37825,14177.1008,10773.55645,13122.47665,14204.269,13122.1311,20887.79045,14632.52825,25701.854,14841.6636,12986.0238,16574.42095,19849.35045,14825.965
3-oxo-6(R)-hydroxy-tetradec-8-cis-enoate/3-oxo-6(S)-hydroxy-tetradec-8Z-enoate,49910.2396,50561.3863,47189.3438,35752.07235,33065.23885,37940.33165,12873.6854,14750.3167,13253.141,24154.3843,19775.4392,16412.41265,21497.1669,31729.694,25513.0887,34161.60425,47021.61175,36396.05945,15426.6847,11686.38115,7126.3129,12211.7186,13878.2149,9950.08
C16H26O3(4),7341.83435,10037.58,5305.85755,6380.86875,6741.03265,6310.5297,7476.2845,8297.02695,10465.1521,9558.88885,8967.1208,7715.1094,12890.0759,15595.465,14281.6382,17128.4743,21386.76105,18964.49985,25153.6205,19789.9077,18902.4211,21985.94535,26510.4975,18912.9282
linoelaidic acid (all trans C18:2)/linoleate/octadecadienoate (n-C18:2),72385.4297,97088.9948,56289.94335,55766.28335,67614.5167,79197.0353,296640.4675,299513.6663,354588.5988,284009.6315,301757.4304,290739.2598,267989.502,251522.408,271858.4274,264174.2408,299591.0893,324343.5123,149368.2759,112709.681,105852.5513,127097.8192,127594.9927,113695.7454
trans-vaccenate/elaidate/oleate,599523.5528,880294.9724,490984.8558,410112.6481,515373.8943,757436.343,2048477.125,1851526.142,1798280.825,2240312.126,1758381.999,1744932.362,1576343.196,1466456.676,1678842.124,1852600.538,2146878.172,2302740.449,1525453.872,1030206.069,1009316.823,1279711.017,1185551.352,1006406.757
9(10)-EpOME/12(13)-EpOME,13095.20305,17813.22715,10250.5986,9572.0814,15021.62035,16894.5826,35979.97195,33799.7461,29209.6751,43014.4276,33909.7964,33417.2339,16325.49465,22598.74615,19762.3324,19750.0622,32599.6235,41301.2186,36330.40485,28827.6501,29258.37975,26935.26595,31665.65525,31443.817
"9,10-hydroxyoctadec-12(Z)-enoate/12,13-hydroxyoctadec-9(Z)-enoate",34552.46515,43382.39195,27544.1914,31192.04875,25232.43065,32486.8083,35135.20275,27197.1656,26625.6299,42007.704,35888.14485,32132.51475,43823.0653,65066.06335,46151.53405,34520.81905,55630.2035,49253.98805,34979.622,27482.9699,23596.4265,30532.32795,41395.7601,36033.532
pristanic acid/pristanate,38153.1558,44177.6253,19632.57495,20966.69365,17018.83475,32310.0697,48682.1161,46249.303,34677.847,42053.9817,39357.3362,41511.8266,29648.272,24959.8501,21677.3552,16795.0702,23041.6906,27085.96195,46062.1243,32100.4628,27412.6628,42566.5782,40511.0873,35327.22375
arachidonate/eicosatetranoic acid,34504.02755,64635.4935,31153.8813,29180.8395,48568.69555,69393.67015,284598.0706,293030.4038,357470.3911,410285.0317,631179.0519,604140.6285,313619.7301,306381.2954,289350.9831,195452.0937,237069.5894,229129.6863,98480.71635,71816.8237,83156.42755,94600.1202,110058.1226,103314.6198
C20H32O3(12),5974.36675,12760.9792,5732.2971,4590.45445,7118.6461,9084.80825,26808.7709,30701.4127,38100.9505,26870.7181,30741.1871,29885.14325,45293.22815,54852.70065,41884.4071,47987.45905,50389.0811,53683.3337,23900.8829,19481.13985,17050.8476,18805.18145,26755.6503,20375.68275
C20H34O4(4),26517.7683,33595.94225,18404.95995,11819.1496,14951.54745,12376.01945,221217.869,217511.7845,155660.9956,214388.6971,206307.11,190752.3988,21777.78205,24549.18775,14371.52735,14150.8067,17596.76685,24255.8692,91303.37865,131990.4127,114083.0884,124672.3173,153113.209,155462.1242
cervonic acid C22:6 n-3/docosahexaenoate,47262.24715,88278.6442,42716.71775,26638.82805,45142.52935,62070.0442,391612.8393,415489.0507,483435.4714,359479.4442,407046.939,404320.1337,423410.508,347239.6194,356336.7937,196997.5129,246652.9651,166068.355,100584.1714,70242.6881,68758.49625,87150.0814,101833.6401,88903.1121
"clupanodonic acid/docosa-4,7,10,13,16-pentaenoic acid",16749.44385,28272.53285,13985.09405,10086.17685,15770.05955,20735.00825,105762.0666,118166.9738,131530.1213,102845.6477,116980.3988,111295.7474,142202.9074,117497.4171,118530.0114,61504.37345,76540.92475,57532.3061,30818.307,24367.1558,25388.0795,34300.1588,36824.57205,30711.3904
[(2R-3S-4R-5R)-5-(2-4-dioxo-1-2-3-4-tetrahydropyrimidin-1-yl)-3-4-dihydroxyoxolan-2-yl]methyl {[(3R-4S-5S-6R)-3-4-5-trihydroxy-6-(hydroxymethyl)oxan-2-yl phosphonato]oxy}phosphonate/UDP-D-galactose,2250556.416,2326921.202,2397204.125,2310497.341,2834233.718,2473880.442,526137.2773,584970.8176,696952.163,946784.6208,863061.615,864838.3843,1639760.774,1921250.073,2044847.374,2146903.287,2271313.151,2613862.161,1090898.527,1200306.829,1060187.115,1135053.01,1247367.478,1001216.584
UDP-N-acetyl-D-galactosamine/UDP-N-acetyl-alpha-D-glucosamine,3309566.29,2850974.098,3050931.69,1031538.64,1420470.682,1153516.004,910374.5934,988337.2873,1188273.177,225154.7393,206817.5211,207609.7533,3584833.03,4196799.104,4403909.081,5140140.215,5138611.342,6049677.7,1960555.852,1952882.753,1920273.061,1034063.375,1088151.556,881457.0025
Taurodeoxycholic acid/taurochenodeoxycholate,91768.1575,126188.1026,165817.331,46115.78055,70978.764,74518.4916,172289.1027,186001.6385,221678.468,135350.9762,135238.5262,131888.653,242808.3178,221726.4761,180141.6048,108643.941,120191.6508,128325.5291,96243.1889,86006.6058,98317.79905,80781.28925,95185.9687,89113.4783
L-isoleucine/L-leucine,47681601.87,53677405.52,53135714.7,45722480.7,61668255.48,61246060.22,63427522.43,65008929.08,81335007.06,60459512.03,63009974.08,62215986.01,238702766.6,270539878.2,242225097,247862601.5,249499738.6,246470918.6,69943704.33,68520789.96,60797621.36,66151084.64,68703743.35,58084507.14
Diphosphate,4494558.329,6115963.561,6002191.738,2310230.525,3071170.456,3053731.365,4070600.318,4431147.732,6167937.855,3296935.398,3941216.628,3522407.775,3674578.667,4109304.142,3769411.606,3360954.712,3467059.066,3740616.221,4167689.462,3859247.112,3677961.292,3250113.13,3901224.435,3540193.781
glyoxylate,287649.2997,287387.5373,277311.4032,274034.2806,314617.3482,271123.834,299256.0704,315831.6403,345347.0797,303147.1102,305546.3971,309430.3111,702423.7068,740915.2189,704625.449,309785.0817,286201.2372,325797.5184,428287.5249,272906.9179,261473.701,320184.6653,274542.8081,249125.2104
ethamp[c],27776.57595,25838.3988,28194.57155,14565.1144,24238.22945,26033.49625,85784.01835,90550.13,106331.8979,82504.2367,125126.6942,97560.97795,308608.5289,223257.6828,228546.5864,48247.93905,51753.3281,37852.08155,13317.8474,11640.2503,11396.2069,15001.26835,12373.98245,10670.29705
Oxaloacetate,46671.20825,44853.50815,51445.4869,40046.61735,45014.49275,46696.4919,36296.82085,42059.614,38907.0007,27417.05085,25248.8411,27676.0848,18796.93265,20489.4536,18981.338,22362.0452,14265.89445,23038.4661,41926.8945,44628.51935,41334.94485,41806.941,40555.18085,40250.9042
Picolinic acid/Nicotinate,45109.2529,49966.5929,45925.01075,35148.49285,42221.795,38298.3311,62995.10095,65874.87045,63003.21965,64403.48075,58189.2155,64668.4973,345934.264,392719.6738,353421.016,89229.24865,79769.90395,95191.1164,68857.4797,42185.32265,34760.50005,50012.6398,40392.91965,40403.12375
D-Glucuronate 1-phosphate,46705.49775,54379.5471,58266.32575,22808.7167,25247.31435,23296.53515,29875.2219,29325.6083,36468.1037,26667.2981,22122.5516,27186.4479,67816.13575,67188.67345,65821.1143,71544.58805,58743.7131,52721.67875,56505.0358,54146.9847,54532.0398,52506.78745,53610.3602,47041.44555
sarcosine,125515.9046,143584.072,155856.0515,136375.6658,163509.9855,193105.3962,191584.0125,203820.1467,217186.0831,164320.3059,179264.67,178021.4874,1195084.088,1120942.325,1141234.845,893619.191,925603.2699,908435.9726,102337.5456,258260.5369,310887.5788,133546.6239,259546.627,299510.7821
"(R,s)-lactate",338187695.3,360250157.3,357812212.1,170841905.4,225547043.8,209281407.7,249117181.7,250794874.2,305728341.7,160661083.9,164461104.1,163435585.4,705146932.6,716776674.4,668474111.9,282677377.2,283766331.4,274957087.9,397275628.7,410017025.3,414959398.1,386893020.3,422728308.1,350720603
acetoacetate,209841.3097,231708.9427,229966.7,186801.6408,216927.9691,213065.5973,185442.5864,171089.7879,168437.7386,156282.9798,143756.9431,133374.4641,370031.5267,529514.3453,596021.9403,331861.479,330377.3923,327551.3246,264279.7323,133470.1639,127528.4762,183256.6372,140188.9298,129259.7296
L-glutamate(1-),28723564.05,26537163.59,26663741.98,28221240.01,37894364.85,30013617.45,29013411.75,28651777.24,35666311.53,26954756.45,26201148.96,27254713.91,76580213.33,76151799.88,70845887.68,73860380.76,75389502.77,78658658.92,41124336.93,39348702.86,35441183.03,35324050.5,37550269.34,30719698.95
D-glucose,9536181.497,9370373.045,9854874.619,13970984.88,16326726.91,13514024.76,15018093.79,15464586.01,19577631.07,17322876.19,17520028.15,18012614.7,53928539.21,52599527.6,49445636.67,1554689.699,1900826.855,2237390.445,9436657.501,8610044.651,7762719.328,8064687.95,8904340.105,7721751.279
myo-inositol,4107834.795,4955080.718,4806918.409,3429869.086,4596432.231,4471666.624,4065098.559,4265895.239,5218630.752,3648403.601,3919345.559,3897442.702,6595977.5,6634840.108,6124002.147,4832628.786,4950526.616,5113414.547,3318672.346,2940157.536,2904437.334,3005609.884,2956818.285,2491500.84
uridine,29849.367,44150.183,38405.0547,111425.8697,156693.1162,153975.8699,54573.7661,49968.25465,58258.321,22082.41395,22390.7652,24473.6412,76520.0927,117787.5408,98648.28055,119899.2387,123315.7364,117283.1352,9232.79665,10206.0154,12926.303,8361.3632,10312.38625,11266.6074
